"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
964043;194;79777;"2020-01-01 03:25:00";"2020-01-01 04:00:00";225.0000;60.0000;0.5833;1.0000;5.5;QUA;C;3
964044;194;79777;"2020-01-01 03:25:00";"2020-01-01 04:00:00";225.0000;60.0000;0.5833;1.0000;5.5;SPO;C;6
964045;44;79778;"2020-01-01 23:10:00";"2020-01-02 00:15:00";105.0000;30.0000;1.0500;1.0000;6.2;ANT;P;1
964046;44;79778;"2020-01-01 23:10:00";"2020-01-02 00:15:00";105.0000;30.0000;1.0500;1.0000;6.2;DLM;P;0
964047;44;79778;"2020-01-01 23:10:00";"2020-01-02 00:15:00";105.0000;30.0000;1.0500;1.0000;6.2;QUA;P;0
964048;44;79778;"2020-01-01 23:10:00";"2020-01-02 00:15:00";105.0000;30.0000;1.0500;1.0000;6.2;SPO;P;5
964049;44;79778;"2020-01-02 00:15:00";"2020-01-02 01:20:00";165.0000;50.0000;1.0300;1.1000;6.2;ANT;P;0
964050;44;79778;"2020-01-02 00:15:00";"2020-01-02 01:20:00";165.0000;50.0000;1.0300;1.1000;6.2;DLM;P;1
964051;44;79778;"2020-01-02 00:15:00";"2020-01-02 01:20:00";165.0000;50.0000;1.0300;1.1000;6.2;QUA;P;1
964052;44;79778;"2020-01-02 00:15:00";"2020-01-02 01:20:00";165.0000;50.0000;1.0300;1.1000;6.2;SPO;P;5
964053;82;79779;"2020-01-02 02:10:00";"2020-01-02 03:10:00";160.0000;25.0000;1.0000;1.0000;6.3;ANT;C;2
964054;82;79779;"2020-01-02 02:10:00";"2020-01-02 03:10:00";160.0000;25.0000;1.0000;1.0000;6.3;QUA;C;3
964055;82;79779;"2020-01-02 02:10:00";"2020-01-02 03:10:00";160.0000;25.0000;1.0000;1.0000;6.3;DLM;C;2
964056;82;79779;"2020-01-02 02:10:00";"2020-01-02 03:10:00";160.0000;25.0000;1.0000;1.0000;6.3;SPO;C;12
964057;82;79779;"2020-01-02 03:10:00";"2020-01-02 04:10:00";175.0000;25.0000;1.0000;1.0000;6.32;ANT;C;3
964058;82;79779;"2020-01-02 03:10:00";"2020-01-02 04:10:00";175.0000;25.0000;1.0000;1.0000;6.32;QUA;C;5
964059;82;79779;"2020-01-02 03:10:00";"2020-01-02 04:10:00";175.0000;25.0000;1.0000;1.0000;6.32;DLM;C;2
964060;82;79779;"2020-01-02 03:10:00";"2020-01-02 04:10:00";175.0000;25.0000;1.0000;1.0000;6.32;SPO;C;12
964061;82;79779;"2020-01-02 04:10:00";"2020-01-02 05:25:00";190.0000;25.0000;1.2500;1.0000;6.32;ANT;C;4
964062;82;79779;"2020-01-02 04:10:00";"2020-01-02 05:25:00";190.0000;25.0000;1.2500;1.0000;6.32;QUA;C;10
